feature,mean,std
0,3.033290,23.623947
1,-8.287049,7.759540
2,-15.705559,6.324980
3,-23.858505,7.254198
4,-27.553816,3.471122
5,-26.826830,3.829594
6,-22.878487,2.745183
7,-24.478786,2.446792
8,-24.612257,2.181213
9,-23.794222,2.184094
10,-22.356213,2.014268
11,-21.479599,1.929964
12,-20.147181,2.027097
13,3.696811,12.745441
14,4.297401,12.609367
15,4.249744,13.815435
16,3.814989,10.588338
17,3.394620,10.183725
18,3.285751,9.656181
19,3.149204,11.503482
20,2.887900,9.405586
21,2.769794,8.043080
22,3.340893,12.342728
23,3.312301,9.305116
24,3.461887,9.707014
25,3.516858,10.788157
26,1.438650,16.017086
27,1.080601,18.580589
28,0.704589,17.585598
29,-18.181904,18.912825
30,-34.037464,34.511684
31,-25.930655,20.671019
32,-1.101567,17.230799
33,-2.205963,17.882206
34,-2.052248,16.571861
35,-0.857942,19.806786
36,-0.227493,15.301313
37,-0.492124,17.082760
38,-0.359843,18.183319
39,0.366509,0.090983
40,0.047073,0.023400
41,2.162705,0.420423
42,914.969299,393.810760
43,1668.784302,1246.305786
44,1335.286743,439.385590
45,0.144617,0.076593
46,0.418261,0.231821
47,0.000000,1.000000
48,0.000000,1.000000
49,0.000000,1.000000
50,0.000000,1.000000
51,0.000000,1.000000
52,0.000000,1.000000
53,0.000000,1.000000
54,0.000000,1.000000
55,0.000000,1.000000
56,0.000000,1.000000
57,0.000000,1.000000
58,0.000000,1.000000
59,0.000000,1.000000
60,759.842590,411.701843
61,741.719849,399.496552
62,752.697998,413.906891
63,760.390991,407.335297
64,772.810242,426.367828
65,764.656921,410.559387
66,750.001587,403.400848
67,761.104431,419.968536
68,754.406128,406.093811
69,736.345276,395.156006
70,746.176880,409.480682
71,756.405945,404.873474
72,768.938293,423.986450
73,1307.853760,710.890564
74,1275.618042,689.383911
75,1294.786621,714.561523
76,1308.937744,705.140320
77,1330.359253,737.009094
78,1317.023193,710.949890
79,1291.337524,696.799438
80,1311.182983,726.419617
81,1300.061523,703.583679
82,1267.289795,682.319885
83,1285.212402,709.087280
84,1302.250000,701.186462
85,1324.074341,733.215576
86,0.050235,0.024096
87,0.007401,0.007179
88,0.136045,0.099718
89,73.894875,62.368301
90,227.677765,267.527283
91,85.370193,40.251545
92,0.016622,0.009941
93,0.187835,0.144612
94,0.000000,1.000000
95,0.000000,1.000000
96,0.000000,1.000000
97,0.000000,1.000000
98,0.000000,1.000000
99,0.000000,1.000000
100,0.000000,1.000000
101,0.000000,1.000000
102,0.000000,1.000000
103,0.000000,1.000000
104,0.000000,1.000000
105,0.000000,1.000000
106,0.000000,1.000000
107,0.009209,0.044441
108,0.010639,0.040136
109,0.013232,0.044686
110,0.007901,0.038647
111,0.010348,0.033853
112,0.010804,0.028928
113,0.009740,0.043645
114,0.009540,0.032082
115,0.003716,0.024861
116,0.010364,0.046573
117,0.007981,0.029862
118,0.009536,0.041623
119,0.010914,0.040102
120,-1.233097,0.099914
121,-1.245196,0.100169
122,-1.249875,0.104801
123,-1.181306,0.107545
124,-1.200222,0.125126
125,-1.190743,0.104540
126,-1.230899,0.103173
127,-1.235533,0.105836
128,-1.238014,0.100185
129,-1.248612,0.100214
130,-1.258431,0.106803
131,-1.220994,0.099951
132,-1.228279,0.107992
133,0.175879,0.678114
134,0.536593,1.214385
135,0.371161,0.635686
136,0.297261,0.581116
137,0.147661,1.450836
138,0.172840,0.506215
139,0.251436,0.470697
140,1.123767,0.809101
141,0.000000,1.000000
142,0.000000,1.000000
143,0.000000,1.000000
144,0.000000,1.000000
145,0.000000,1.000000
146,0.000000,1.000000
147,0.000000,1.000000
148,0.000000,1.000000
149,0.000000,1.000000
150,0.000000,1.000000
151,0.000000,1.000000
152,0.000000,1.000000
153,0.000000,1.000000
154,1.727787,0.995462
155,1.806029,0.995366
156,1.871227,1.074476
157,1.588011,0.966452
158,1.669479,1.063376
159,1.638680,0.992827
160,1.735907,1.010793
161,1.773501,1.081322
162,1.765698,0.991940
163,1.854127,0.984594
164,1.917567,1.091031
165,1.634238,0.959124
166,1.707398,1.085127
167,1.801793,0.995355
168,1.891647,0.996701
169,1.952048,1.076153
170,1.592331,0.972966
171,1.627841,1.045378
172,1.607067,0.998389
173,1.801795,1.014769
174,1.835786,1.083475
175,1.830998,0.993061
176,1.925809,0.985346
177,1.999863,1.105393
178,1.707226,0.956326
179,1.780447,1.101498
180,-0.335582,1.136930
181,1.601418,4.389233
182,0.294693,1.590487
183,0.098082,1.694791
184,2.104400,7.338133
185,-0.063301,1.338956
186,-0.050797,1.290444
187,2.986078,3.676186
188,76.056519,113.669846
189,1.247037,4.671107
190,0.169280,0.331618
191,0.775809,0.081313
192,0.025020,0.035946
